source,target,weight
Harry Potter,Hermione Granger,2297
Harry Potter,Ronald Weasley,1963
Hermione Granger,Ronald Weasley,1536
Harry Potter,Tom Riddle,691
Albus Dumbledore,Harry Potter,577
Harry Potter,Rubeus Hagrid,224
Ginevra Weasley,Harry Potter,212
Harry Potter,Severus Snape,210
Harry Potter,Luna Lovegood,204
Aberforth Dumbledore,Harry Potter,197
Harry Potter,Remus Lupin,194
Griphook,Harry Potter,192
Harry Potter,Sirius Black,169
Albus Dumbledore,Severus Snape,167
Harry Potter,Kreacher,151
Lily J. Potter,Severus Snape,135
Harry Potter,Molly Weasley,135
Hermione Granger,Tom Riddle,123
Ronald Weasley,Tom Riddle,118
Bathilda Bagshot,Harry Potter,104
Godric Gryffindor,Harry Potter,104
Ariana Dumbledore,Harry Potter,103
Albus Dumbledore,Hermione Granger,103
Dobby,Harry Potter,99
Harry Potter,Xenophilius Lovegood,98
Draco Malfoy,Harry Potter,98
Albus Dumbledore,Ronald Weasley,96
Fleur Delacour,William Weasley,95
Hermione Granger,Xenophilius Lovegood,93
Harry Potter,William Weasley,92
Harry Potter,Neville Longbottom,92
Garrick Ollivander,Harry Potter,90
Kreacher,Regulus Black,88
Fred Weasley,Harry Potter,78
Griphook,Hermione Granger,77
Harry Potter,Rufus Scrimgeour,77
Albus Dumbledore,Tom Riddle,77
Fred Weasley,George Weasley,73
Bellatrix Lestrange,Harry Potter,72
Fenrir Greyback,Harry Potter,70
Harry Potter,Minerva McGonagall,70
Fleur Delacour,Harry Potter,69
Harry Potter,Nymphadora Tonks,66
Harry Potter,Mykew Gregorovitch,66
Arthur Weasley,Harry Potter,65
Nymphadora Tonks,Remus Lupin,64
Ginevra Weasley,Ronald Weasley,60
Dean Thomas,Harry Potter,60
Severus Snape,Tom Riddle,59
Harry Potter,Phineas Nigellus Black,58
Harry Potter,Vincent Crabbe,57
Ariana Dumbledore,Gellert Grindelwald,56
Griphook,Ronald Weasley,56
Harry Potter,Lily J. Potter,56
Ronald Weasley,Xenophilius Lovegood,51
Ginevra Weasley,Hermione Granger,51
Hermione Granger,Luna Lovegood,50
Dudley Dursley,Harry Potter,49
Harry Potter,Mundungus Fletcher,48
Harry Potter,Hedwig,46
George Weasley,Harry Potter,45
Molly Weasley,Ronald Weasley,45
Lucius Malfoy,Tom Riddle,44
Hermione Granger,Phineas Nigellus Black,44
Albus Dumbledore,Gellert Grindelwald,44
Hermione Granger,Kreacher,42
Godric Gryffindor,Hermione Granger,41
Dean Thomas,Luna Lovegood,41
Gregory Goyle,Harry Potter,40
Hermione Granger,Remus Lupin,40
Luna Lovegood,Ronald Weasley,40
