source,target,weight
Lavender Brown,Parvati Patil,91
Ronald Weasley,Seamus Finnigan,90
Bartemius Crouch Senior,Ronald Weasley,90
James Potter I,Severus Snape,90
Dolores Umbridge,Ronald Weasley,90
Godric Gryffindor,Minerva McGonagall,89
Gilderoy Lockhart,Hermione Granger,89
Ronald Weasley,Sybill Trelawney,89
Kreacher,Regulus Black,88
Harry Potter,James Potter I,87
Neville Longbottom,Severus Snape,87
Hermione Granger,Horace Slughorn,86
Fawkes,Harry Potter,86
Fleur Delacour,Ronald Weasley,86
Harry Potter,Rolanda Hooch,85
Buckbeak,Hermione Granger,85
Molly Weasley,Sirius Black,84
Fenrir Greyback,Harry Potter,83
Hermione Granger,Kreacher,83
Harry Potter,Parvati Patil,82
Albus Dumbledore,Remus Lupin,82
Hermione Granger,Percy Weasley,82
Harry Potter,Sorting Hat,81
Arthur Weasley,Molly Weasley,81
Filius Flitwick,Harry Potter,80
Cornelius Fudge,Tom Riddle,80
Alastor Moody,Ronald Weasley,80
Bartemius Crouch Senior,Hermione Granger,80
Hermione Granger,Lavender Brown,79
Crookshanks,Ronald Weasley,79
Harry Potter,Kingsley Shacklebolt,79
Albus Dumbledore,Dolores Umbridge,78
Harry Potter,Olympe Maxime,78
Luna Lovegood,Neville Longbottom,78
Hermione Granger,Sybill Trelawney,77
Quirinus Quirrell,Severus Snape,77
Minerva McGonagall,Rubeus Hagrid,77
Horace Slughorn,Tom Riddle,77
Griphook,Hermione Granger,77
Harry Potter,Lily J. Potter,77
Crookshanks,Hermione Granger,75
James Potter I,Sirius Black,72
Cho Chang,Marietta Edgecombe,72
James Potter I,Lily J. Potter,71
Rubeus Hagrid,Severus Snape,70
Albus Dumbledore,Molly Weasley,70
Alastor Moody,Bartemius Crouch Senior,69
George Weasley,Percy Weasley,69
Argus Filch,Ronald Weasley,69
Dobby,Ronald Weasley,69
Harry Potter,Helga Hufflepuff,69
Hermione Granger,William Weasley,68
Molly Weasley,Remus Lupin,68
Gregory Goyle,Hermione Granger,67
Harry Potter,Rowena Ravenclaw,67
Rubeus Hagrid,Tom Riddle,67
Lucius Malfoy,Tom Riddle,67
Charles Weasley,Harry Potter,66
Harry Potter,Mykew Gregorovitch,66
Cedric Diggory,Viktor Krum,66
Dolores Umbridge,Rubeus Hagrid,66
Peter Pettigrew,Ronald Weasley,66
Cornelius Fudge,Sirius Black,65
Albus Dumbledore,Igor Karkaroff,64
Minerva McGonagall,Severus Snape,63
Harry Potter,Pigwidgeon,63
Arabella Figg,Harry Potter,63
Bartemius Crouch Senior,Ludovic Bagman,62
Cedric Diggory,Cho Chang,62
Draco Malfoy,Salazar Slytherin,61
Draco Malfoy,Neville Longbottom,61
Hedwig,Ronald Weasley,61
Ernest Macmillan,Harry Potter,61
Ginevra Weasley,Percy Weasley,60
Fleur Delacour,Molly Weasley,60
Argus Filch,Hermione Granger,60
Father Christmas,Ronald Weasley,60
Dolores Umbridge,Severus Snape,60
Fred Weasley,Lee Jordan,60
Igor Karkaroff,Severus Snape,59
Charles Weasley,William Weasley,59
Arthur Weasley,Ronald Weasley,58
Alastor Moody,Hermione Granger,58
Neville Longbottom,Remus Lupin,58
Neville Longbottom,Seamus Finnigan,58
Hermione Granger,Winky,58
Hermione Granger,Vincent Crabbe,58
Dobby,Hermione Granger,58
Harry Potter,Mrs Norris,57
Albus Dumbledore,Sybill Trelawney,57
Buckbeak,Ronald Weasley,57
Grawp,Harry Potter,57
Rita Skeeter,Rubeus Hagrid,57
Draco Malfoy,Horace Slughorn,56
Ariana Dumbledore,Gellert Grindelwald,56
Amos Diggory,Harry Potter,56
Griphook,Ronald Weasley,56
Bartemius Crouch Senior,Percy Weasley,56
Ginevra Weasley,Tom Riddle,55
Angelina Johnson,Ronald Weasley,55
Dolores Umbridge,Minerva McGonagall,55
Albus Dumbledore,Cole,55
Hepzibah Smith,Tom Riddle,54
Harry Potter,Justin Finch-Fletchley,54
Grawp,Rubeus Hagrid,54
Godric Gryffindor,Salazar Slytherin,53
Fleur Delacour,Viktor Krum,53
Kreacher,Ronald Weasley,53
Harry Potter,Pansy Parkinson,52
Dean Thomas,Neville Longbottom,52
