source,target,weight
Albus Dumbledore,Harry Potter,1493
Harry Potter,Ronald Weasley,1290
Harry Potter,Hermione Granger,1074
Hermione Granger,Ronald Weasley,742
Harry Potter,Horace Slughorn,518
Draco Malfoy,Harry Potter,432
Albus Dumbledore,Tom Riddle,425
Harry Potter,Severus Snape,411
Harry Potter,Tom Riddle,337
Ginevra Weasley,Harry Potter,337
Harry Potter,Rubeus Hagrid,291
Albus Dumbledore,Draco Malfoy,184
Harry Potter,Molly Weasley,181
Ginevra Weasley,Ronald Weasley,175
Albus Dumbledore,Severus Snape,174
Lavender Brown,Ronald Weasley,160
Harry Potter,Lavender Brown,158
Draco Malfoy,Severus Snape,143
Harry Potter,Rufus Scrimgeour,125
Harry Potter,Minerva McGonagall,120
Albus Dumbledore,Horace Slughorn,119
Cornelius Fudge,Prime Minister,114
Ginevra Weasley,Hermione Granger,109
Bellatrix Lestrange,Severus Snape,103
Cormac McLaggen,Harry Potter,101
Harry Potter,Nymphadora Tonks,98
Harry Potter,Sybill Trelawney,98
Godric Gryffindor,Harry Potter,96
Horace Slughorn,Ronald Weasley,94
Fred Weasley,George Weasley,93
Harry Potter,Neville Longbottom,92
Hermione Granger,Rubeus Hagrid,91
Ronald Weasley,Rubeus Hagrid,85
Hermione Granger,Horace Slughorn,85
Draco Malfoy,Ronald Weasley,80
Harry Potter,Remus Lupin,73
Albus Dumbledore,Hermione Granger,72
Molly Weasley,Ronald Weasley,71
Horace Slughorn,Tom Riddle,70
Albus Dumbledore,Ronald Weasley,68
Harry Potter,Sirius Black,67
Harry Potter,Katie Bell,64
Gregory Goyle,Vincent Crabbe,64
Harry Potter,Luna Lovegood,63
Borgin,Harry Potter,59
Dean Thomas,Harry Potter,58
Draco Malfoy,Vincent Crabbe,58
Draco Malfoy,Horace Slughorn,56
Albus Dumbledore,Cole,55
Draco Malfoy,Hermione Granger,54
Ronald Weasley,Severus Snape,53
Hepzibah Smith,Tom Riddle,53
Ginevra Weasley,Neville Longbottom,53
Hermione Granger,Molly Weasley,50
Harry Potter,Kreacher,50
Eileen Prince,Harry Potter,49
Fleur Delacour,William Weasley,48
Draco Malfoy,Gregory Goyle,48
Hermione Granger,Lavender Brown,46
George Weasley,Ronald Weasley,44
