source,target,weight
Harry Potter,Ronald Weasley,1175
Harry Potter,Hermione Granger,1163
Hermione Granger,Ronald Weasley,939
Harry Potter,Remus Lupin,395
Harry Potter,Sirius Black,370
Harry Potter,Severus Snape,285
Harry Potter,Rubeus Hagrid,253
Draco Malfoy,Harry Potter,185
Hermione Granger,Rubeus Hagrid,183
Godric Gryffindor,Harry Potter,165
Ronald Weasley,Rubeus Hagrid,154
Godric Gryffindor,Oliver Wood,141
Cornelius Fudge,Harry Potter,134
Ronald Weasley,Sirius Black,133
Remus Lupin,Severus Snape,130
Remus Lupin,Sirius Black,130
Peter Pettigrew,Sirius Black,127
Peter Pettigrew,Remus Lupin,124
Harry Potter,Sybill Trelawney,121
Albus Dumbledore,Harry Potter,118
Harry Potter,Peter Pettigrew,117
Buckbeak,Harry Potter,115
Remus Lupin,Ronald Weasley,107
Severus Snape,Sirius Black,105
Hermione Granger,Sirius Black,105
Hermione Granger,Remus Lupin,100
Draco Malfoy,Ronald Weasley,100
Harry Potter,Oliver Wood,89
Harry Potter,Vernon Dursley,87
Godric Gryffindor,Minerva McGonagall,78
Crookshanks,Harry Potter,77
Harry Potter,Minerva McGonagall,76
Harry Potter,Tom Riddle,72
Ronald Weasley,Severus Snape,71
Harry Potter,Neville Longbottom,70
Hermione Granger,Severus Snape,68
Peter Pettigrew,Ronald Weasley,63
Gregory Goyle,Vincent Crabbe,61
Hermione Granger,Sybill Trelawney,61
Harry Potter,Percy Weasley,60
Crookshanks,Ronald Weasley,60
Godric Gryffindor,Ronald Weasley,59
Fred Weasley,George Weasley,58
Albus Dumbledore,Hermione Granger,57
Buckbeak,Hermione Granger,52
Harry Potter,Hedwig,52
Albus Dumbledore,Sirius Black,49
Fred Weasley,Harry Potter,48
Percy Weasley,Ronald Weasley,48
Harry Potter,Poppy Pomfrey,48
Albus Dumbledore,Remus Lupin,48
Draco Malfoy,Gregory Goyle,46
Neville Longbottom,Remus Lupin,46
Cornelius Fudge,Sirius Black,45
Ronald Weasley,Sybill Trelawney,44
Draco Malfoy,Vincent Crabbe,44
Albus Dumbledore,Severus Snape,42
Godric Gryffindor,Hermione Granger,42
Harry Potter,Vincent Crabbe,40
Buckbeak,Rubeus Hagrid,38
Neville Longbottom,Severus Snape,38
George Weasley,Harry Potter,36
Gregory Goyle,Harry Potter,36
Harry Potter,Molly Weasley,35
Cornelius Fudge,Prime Minister,35
Cho Chang,Harry Potter,35
Hermione Granger,Minerva McGonagall,34
Harry Potter,Salazar Slytherin,34
Draco Malfoy,Severus Snape,32
Ginevra Weasley,Harry Potter,31
Buckbeak,Sirius Black,31
James Potter I,Lily J. Potter,31
Draco Malfoy,Hermione Granger,31
Lavender Brown,Parvati Patil,30
Crookshanks,Hermione Granger,30
Godric Gryffindor,Salazar Slytherin,30
Buckbeak,Ronald Weasley,29
Fred Weasley,Ronald Weasley,29
Penelope Clearwater,Percy Weasley,28
Oliver Wood,Ronald Weasley,28
James Potter I,Sirius Black,27
Harry Potter,Petunia Dursley,26
Errol,Ronald Weasley,26
Dudley Dursley,Harry Potter,25
Petunia Dursley,Vernon Dursley,25
James Potter I,Peter Pettigrew,25
Albus Dumbledore,Rubeus Hagrid,25
Harry Potter,Rowena Ravenclaw,25
Neville Longbottom,Ronald Weasley,24
Minerva McGonagall,Ronald Weasley,23
Cedric Diggory,Harry Potter,23
Father Christmas,Harry Potter,23
George Weasley,Ronald Weasley,23
Draco Malfoy,Rubeus Hagrid,23
Hermione Granger,Percy Weasley,22
Harry Potter,Prime Minister,22
Sirius Black,Tom Riddle,21
Hermione Granger,Lavender Brown,21
Harry Potter,Rolanda Hooch,21
James Potter I,Remus Lupin,21
Albus Dumbledore,Ronald Weasley,20
Dudley Dursley,Vernon Dursley,20
Hermione Granger,Peter Pettigrew,19
Hermione Granger,Neville Longbottom,19
Albus Dumbledore,Cornelius Fudge,19
Cornelius Fudge,Tom Riddle,19
Dudley Dursley,Petunia Dursley,18
Draco Malfoy,Salazar Slytherin,18
Remus Lupin,Tom Riddle,17
Godric Gryffindor,Rolanda Hooch,17
Albus Dumbledore,Peter Pettigrew,16
Fred Weasley,Oliver Wood,16
Cornelius Fudge,Severus Snape,16
Cornelius Fudge,Ronald Weasley,16
Filius Flitwick,Harry Potter,16
Draco Malfoy,Godric Gryffindor,16
Lily J. Potter,Sirius Black,15
Ginevra Weasley,Ronald Weasley,15
Lavender Brown,Sybill Trelawney,15
Angelina Johnson,Godric Gryffindor,14
Hermione Granger,Lucius Malfoy,14
Ronald Weasley,Vincent Crabbe,14
Albus Dumbledore,Tom Riddle,14
Peter Pettigrew,Severus Snape,14
Hermione Granger,Oliver Wood,14
Percy Weasley,Rowena Ravenclaw,14
Penelope Clearwater,Rowena Ravenclaw,14
Minerva McGonagall,Sirius Black,14
Fred Weasley,Godric Gryffindor,13
George Weasley,Oliver Wood,13
Father Christmas,Ronald Weasley,13
Minerva McGonagall,Sybill Trelawney,13
Ginevra Weasley,Percy Weasley,13
Gregory Goyle,Ronald Weasley,13
Errol,Hermione Granger,13
Rubeus Hagrid,Sirius Black,13
Peter Pettigrew,Tom Riddle,13
Molly Weasley,Ronald Weasley,13
Cornelius Fudge,Hermione Granger,12
Helga Hufflepuff,Rowena Ravenclaw,12
Lily J. Potter,Peter Pettigrew,12
Neville Longbottom,Sybill Trelawney,12
Errol,Harry Potter,12
Harry Potter,Walden Macnair,12
Argus Filch,Ronald Weasley,12
Harry Potter,James Potter I,12
Buckbeak,Draco Malfoy,12
Albus Dumbledore,Poppy Pomfrey,12
Minerva McGonagall,Oliver Wood,12
Cornelius Fudge,Walden Macnair,11
Filius Flitwick,Hermione Granger,11
Harry Potter,Lavender Brown,11
Lucian Bole,Peregrine Derrick,11
Parvati Patil,Sybill Trelawney,11
Harry Potter,Lucius Malfoy,11
Angelina Johnson,Katie Bell,11
George Weasley,Godric Gryffindor,11
Argus Filch,Harry Potter,11
Argus Filch,Hermione Granger,11
Albus Dumbledore,Walden Macnair,11
Lily J. Potter,Tom Riddle,10
Fred Weasley,Hermione Granger,10
Fat Lady,Harry Potter,10
James Potter I,Tom Riddle,10
Cadogan,Harry Potter,10
Godric Gryffindor,Remus Lupin,10
Albus Dumbledore,Percy Weasley,10
Arthur Weasley,Harry Potter,10
Harry Potter,Seamus Finnigan,10
Albus Dumbledore,Sybill Trelawney,10
Draco Malfoy,Sirius Black,10
Helga Hufflepuff,Salazar Slytherin,10
Angelina Johnson,Harry Potter,10
Hermione Granger,Vincent Crabbe,9
Hermione Granger,Parvati Patil,9
Fred Weasley,Percy Weasley,9
Hermione Granger,Poppy Pomfrey,9
Godric Gryffindor,Katie Bell,9
Alicia Spinnet,Katie Bell,9
Godric Gryffindor,Rowena Ravenclaw,9
Ginevra Weasley,Hermione Granger,9
Alicia Spinnet,Harry Potter,9
Harry Potter,Parvati Patil,9
Crookshanks,Sirius Black,9
Colin Creevey,Harry Potter,8
Angelina Johnson,Marcus Flint,8
George Weasley,Hermione Granger,8
Draco Malfoy,Remus Lupin,8
Marcus Flint,Salazar Slytherin,8
Father Christmas,Hermione Granger,8
Hedwig,Ronald Weasley,8
Harry Potter,Katie Bell,8
Alicia Spinnet,Angelina Johnson,8
Godric Gryffindor,Severus Snape,8
Gregory Goyle,Hermione Granger,8
Fang,Rubeus Hagrid,8
Oliver Wood,Rolanda Hooch,8
Lily J. Potter,Remus Lupin,8
Dean Thomas,Harry Potter,8
