source,target,weight
Harry Potter,Ronald Weasley,1904
Harry Potter,Hermione Granger,1306
Hermione Granger,Ronald Weasley,1229
Albus Dumbledore,Harry Potter,663
Cedric Diggory,Harry Potter,474
Alastor Moody,Harry Potter,413
Harry Potter,Rubeus Hagrid,403
Fred Weasley,George Weasley,329
Harry Potter,Sirius Black,292
Harry Potter,Tom Riddle,289
Harry Potter,Severus Snape,276
Bartemius Crouch Senior,Harry Potter,261
Harry Potter,Viktor Krum,241
Harry Potter,Ludovic Bagman,189
Fred Weasley,Ronald Weasley,169
Fred Weasley,Harry Potter,165
Dobby,Harry Potter,150
Harry Potter,Vernon Dursley,141
George Weasley,Ronald Weasley,140
George Weasley,Harry Potter,140
Hermione Granger,Rubeus Hagrid,136
Ronald Weasley,Rubeus Hagrid,136
Harry Potter,Rita Skeeter,129
Draco Malfoy,Harry Potter,123
Hermione Granger,Viktor Krum,119
Harry Potter,Winky,119
Alastor Moody,Albus Dumbledore,116
Harry Potter,Molly Weasley,116
Fleur Delacour,Harry Potter,113
Harry Potter,Hedwig,105
Albus Dumbledore,Bartemius Crouch Senior,105
Harry Potter,Igor Karkaroff,104
Albus Dumbledore,Severus Snape,101
Bartemius Crouch Senior,Winky,96
Harry Potter,Sybill Trelawney,96
Cho Chang,Harry Potter,92
Ronald Weasley,Viktor Krum,92
Harry Potter,Neville Longbottom,91
Bartemius Crouch Senior,Ronald Weasley,89
Albus Dumbledore,Rubeus Hagrid,86
Harry Potter,Minerva McGonagall,86
Draco Malfoy,Ronald Weasley,86
Albus Dumbledore,Cornelius Fudge,83
Bartemius Crouch Senior,Hermione Granger,80
Argus Filch,Severus Snape,78
Olympe Maxime,Rubeus Hagrid,74
Harry Potter,Olympe Maxime,74
Godric Gryffindor,Harry Potter,70
Alastor Moody,Bartemius Crouch Senior,69
Harry Potter,William Weasley,68
Cedric Diggory,Viktor Krum,66
Gregory Goyle,Vincent Crabbe,66
Cornelius Fudge,Harry Potter,66
Bartemius Crouch Senior,Ludovic Bagman,62
Fred Weasley,Hermione Granger,62
Dudley Dursley,Harry Potter,62
Molly Weasley,Ronald Weasley,61
Neville Longbottom,Ronald Weasley,60
Hermione Granger,Winky,58
Hermione Granger,Rita Skeeter,58
Albus Dumbledore,Ronald Weasley,58
Argus Filch,Harry Potter,58
Ronald Weasley,Sirius Black,57
Draco Malfoy,Vincent Crabbe,57
Rita Skeeter,Rubeus Hagrid,57
Bartemius Crouch Senior,Percy Weasley,56
Amos Diggory,Harry Potter,56
Albus Dumbledore,Igor Karkaroff,55
Harry Potter,Percy Weasley,55
Draco Malfoy,Gregory Goyle,55
Fleur Delacour,Viktor Krum,53
Ginevra Weasley,Harry Potter,53
George Weasley,Hermione Granger,53
Dudley Dursley,Petunia Dursley,53
Hermione Granger,Sirius Black,53
Petunia Dursley,Vernon Dursley,51
Igor Karkaroff,Severus Snape,51
Hermione Granger,Molly Weasley,50
Albus Dumbledore,Hermione Granger,50
Draco Malfoy,Hermione Granger,49
Cho Chang,Ronald Weasley,49
Molly Weasley,William Weasley,49
Albus Dumbledore,Tom Riddle,49
Alastor Moody,Hermione Granger,48
Alastor Moody,Rubeus Hagrid,47
Albus Dumbledore,Sirius Black,47
Alastor Moody,Ronald Weasley,46
Albus Dumbledore,Cedric Diggory,46
Harry Potter,Pigwidgeon,46
Cornelius Fudge,Prime Minister,44
Albus Dumbledore,Minerva McGonagall,44
Barry Ryan,Bartemius Crouch Senior,44
Ronald Weasley,William Weasley,44
Dudley Dursley,Vernon Dursley,43
Ronald Weasley,Severus Snape,43
Buckbeak,Harry Potter,42
Colin Creevey,Harry Potter,42
Charles Weasley,William Weasley,42
Ronald Weasley,Winky,41
Harry Potter,Parvati Patil,41
Harry Potter,Myrtle Warren,40
Hermione Granger,William Weasley,40
Cedric Diggory,Fleur Delacour,40
Ginevra Weasley,Ronald Weasley,40
Ginevra Weasley,Hermione Granger,39
Bartemius Crouch Senior,Sirius Black,39
Ronald Weasley,Sybill Trelawney,38
Ludovic Bagman,Ronald Weasley,38
Rita Skeeter,Ronald Weasley,37
Alastor Moody,Minerva McGonagall,36
Harry Potter,Petunia Dursley,36
Pigwidgeon,Ronald Weasley,36
Dobby,Ronald Weasley,36
Alastor Moody,Igor Karkaroff,35
Severus Snape,Sirius Black,35
Dean Thomas,Seamus Finnigan,35
Alastor Moody,Severus Snape,34
Alastor Moody,Winky,34
Ronald Weasley,Seamus Finnigan,34
Bartemius Crouch Senior,Severus Snape,34
Godric Gryffindor,Ronald Weasley,33
Harry Potter,Seamus Finnigan,33
Gregory Goyle,Harry Potter,33
Harry Potter,Vincent Crabbe,32
Percy Weasley,Ronald Weasley,32
Cedric Diggory,Ronald Weasley,32
Harry Potter,Poppy Pomfrey,31
Minerva McGonagall,Rubeus Hagrid,31
Albus Dumbledore,Olympe Maxime,31
Amos Diggory,Winky,30
Igor Karkaroff,Olympe Maxime,30
Hermione Granger,Ludovic Bagman,30
Hermione Granger,Severus Snape,30
Alastor Moody,Neville Longbottom,29
Godric Gryffindor,Hermione Granger,29
Dean Thomas,Ronald Weasley,29
Hermione Granger,Percy Weasley,29
Argus Filch,Peeves,29
Buckbeak,Hermione Granger,29
Albus Dumbledore,Winky,29
Albus Dumbledore,Rita Skeeter,28
Hermione Granger,Neville Longbottom,28
Igor Karkaroff,Ronald Weasley,28
Charles Weasley,Harry Potter,28
Bartemius Crouch Senior,Tom Riddle,28
Hermione Granger,Minerva McGonagall,27
Igor Karkaroff,Viktor Krum,27
Bartemius Crouch Senior,Igor Karkaroff,27
Angelina Johnson,Harry Potter,27
Ronald Weasley,Tom Riddle,27
Olympe Maxime,Ronald Weasley,26
Buckbeak,Ronald Weasley,26
Father Christmas,Harry Potter,26
Padma Patil,Ronald Weasley,26
Cedric Diggory,Cho Chang,26
Fleur Delacour,Ronald Weasley,26
Minerva McGonagall,Ronald Weasley,26
Igor Karkaroff,Sirius Black,25
Albus Dumbledore,Viktor Krum,25
Garrick Ollivander,Harry Potter,25
